Y Y Y 24 13 None 133 API 2.0 I 2.0 2011-01-07 11:28:23 2011-01-07 11:28:23 None
Y Y Y 24 12 None 134 API 2.0 I 2.0 2011-01-07 11:28:23 2011-01-07 11:28:23 None
Y Y Y 24 14 None 135 API 2.0 I 2.0 2011-01-07 11:28:23 2011-01-07 11:28:23 None
Y Y Y 24 2 None 136 API 2.0 I 2.0 2011-01-07 11:28:23 2011-01-07 11:28:23 None
Y Y Y 66 13 None 550 API 2.0 I 2.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 48 13 None 281 API 2.0 I 2.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 48 12 None 282 API 2.0 I 2.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 48 14 None 283 API 2.0 I 2.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 48 2 None 284 API 2.0 I 2.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 48 20 None 285 API 29.0 U 5.0 2019-04-21 14:23:19 2011-11-23 11:51:41 None
Y Y Y 48 4 None 286 API 5.0 I 5.0 2011-11-23 11:51:41 2011-11-23 11:51:41 None
Y Y Y 66 12 None 551 API 2.0 I 2.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 66 14 None 552 API 2.0 I 2.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 66 2 None 553 API 2.0 I 2.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 66 23 None 554 API 29.0 I 29.0 2019-09-30 11:37:52 2019-09-30 11:37:52 None
Y Y Y 55 25 None 573 None 29.0 I 29.0 2020-06-18 15:04:14 2020-06-18 15:04:14 None
Y Y Y 72 25 None 574 None 29.0 I 29.0 2020-07-22 13:44:29 2020-07-22 13:44:29 None
Y Y Y 5 25 None 575 None 29.0 I 29.0 2020-07-22 13:44:51 2020-07-22 13:44:51 None
Y Y Y 17 7 None 325 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 5 None 326 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 6 None 327 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 3 None 328 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 4 None 329 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 9 None 330 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 10 None 331 API 2.0 I 2.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 17 20 None 332 API 29.0 I 29.0 2013-01-24 13:31:49 2013-01-24 13:31:49 None
Y Y Y 1 10 None 1 API None I None 2009-12-28 14:25:57 2009-12-28 14:25:57 None
Y Y Y 1 9 None 2 API None I None 2009-12-28 14:25:57 2009-12-28 14:25:57 None
Y Y Y 2 7 None 3 None 1.0 I 1.0 2009-12-28 16:33:29 2009-12-28 16:33:29 None
