,CR_RESP_ID,CM_MENU_ID,MENU_RESP_DESC,MENU_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,SL_NO
195,12,450,Sales Payment By Invoice,745,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,4.0
196,12,428,Delivery Note,746,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,5.0
197,12,438,Freight Setup,747,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,6.0
198,12,408,Sales Orders,748,None,2.0,U,2.0,2010-10-07 14:47:13,2010-10-07 14:46:47,None,7.0
199,13,503,Purchase Order,749,None,2.0,I,2.0,2010-10-07 14:48:47,2010-10-07 14:48:47,None,1.0
200,13,507,Goods Receipt,750,None,2.0,I,2.0,2010-10-07 14:48:47,2010-10-07 14:48:47,None,2.0
201,13,508,Invoice,751,None,2.0,I,2.0,2010-10-07 14:48:47,2010-10-07 14:48:47,None,3.0
202,13,509,Payments,752,None,2.0,I,2.0,2010-10-07 14:48:47,2010-10-07 14:48:47,None,4.0
203,13,510,Debit Note,753,None,2.0,I,2.0,2010-10-07 14:48:47,2010-10-07 14:48:47,None,5.0
204,14,701,Item Search,754,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,1.0
205,14,702,Item By Location,755,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,2.0
206,14,703,Item In Locations,756,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,3.0
207,14,707,Po Summry,757,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,4.0
208,14,708,Grn Summary,758,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,5.0
209,14,812,Sales Invoice Summary,759,None,2.0,U,2.0,2010-11-26 14:51:26,2010-10-07 14:50:17,None,6.0
210,14,983,Reports,760,None,2.0,I,2.0,2010-10-07 14:55:38,2010-10-07 14:55:38,None,7.0
211,18,306,Inventory Locations,795,None,2.0,I,2.0,2010-11-28 18:36:53,2010-11-28 18:36:53,None,1.0
212,18,339,Item Quick Movement,796,None,2.0,I,2.0,2010-11-28 18:36:53,2010-11-28 18:36:53,None,2.0
213,18,368,Internal Movements,797,None,2.0,I,2.0,2010-11-28 18:36:53,2010-11-28 18:36:53,None,3.0
214,18,303,Items,798,None,2.0,I,2.0,2010-11-28 18:36:53,2010-11-28 18:36:53,None,4.0
215,9,20005,Commodity Codes,799,API,nan,I,nan,2010-12-05 16:26:07,2010-12-05 16:26:07,None,1.0
216,18,20005,Commodity Codes,800,None,2.0,I,2.0,2010-12-05 16:28:13,2010-12-05 16:28:13,None,5.0
217,18,369,Sub Location Assignments,801,None,2.0,I,2.0,2010-12-05 16:29:02,2010-12-05 16:29:02,None,6.0
218,19,20005,Commodity Codes,802,None,2.0,I,2.0,2010-12-06 14:17:32,2010-12-06 14:17:32,None,1.0
219,19,208,Currencies,803,None,2.0,I,2.0,2010-12-06 14:17:32,2010-12-06 14:17:32,None,2.0
220,19,209,Tax Codes,804,None,2.0,I,2.0,2010-12-06 14:17:32,2010-12-06 14:17:32,None,3.0
221,19,213,Countries,805,None,2.0,I,2.0,2010-12-06 14:17:32,2010-12-06 14:17:32,None,4.0
222,19,220,Currency Rates,806,None,2.0,I,2.0,2010-12-06 14:17:32,2010-12-06 14:17:32,None,5.0
223,13,502,Suppliers,807,None,2.0,I,2.0,2010-12-06 14:18:00,2010-12-06 14:18:00,None,6.0
224,13,501,Supplier Profiles,808,None,2.0,I,2.0,2010-12-06 14:18:00,2010-12-06 14:18:00,None,7.0
225,5,3000003,Sub Loc Assignment Batch,809,API,nan,I,nan,2010-12-14 11:47:30,2010-12-14 11:47:30,None,1.0
226,4,700003,Gl Cashingup Summary,810,API,nan,I,nan,2010-12-14 11:47:30,2010-12-14 11:47:30,None,1.0
227,10,1000002,Miscellaneous Task,811,API,nan,I,nan,2010-12-14 11:47:30,2010-12-14 11:47:30,None,100.0
228,18,315,Item Counts,812,None,2.0,I,2.0,2010-12-14 14:37:38,2010-12-14 14:37:38,None,7.0
229,18,367,Item Batch,813,None,2.0,I,2.0,2010-12-14 14:37:38,2010-12-14 14:37:38,None,8.0
230,12,402,Customer,816,None,2.0,I,2.0,2011-01-04 10:30:53,2011-01-04 10:30:53,None,8.0
231,7,473,Main Sales Screen,818,API,nan,I,nan,2011-01-09 08:44:13,2011-01-09 08:44:13,None,1.0
232,7,494,Manual Sales Invoice,820,None,2.0,I,2.0,2011-01-20 21:07:46,2011-01-20 21:07:46,None,11.0
233,12,494,Manual Sales Invoice,821,None,2.0,I,2.0,2011-01-20 21:08:12,2011-01-20 21:08:12,None,10.0
234,6,50002,Purchase Order Internal Usage,823,None,2.0,I,2.0,2011-02-10 21:22:31,2011-02-10 21:22:31,None,2.0
235,4,700009,Requisition Summary,831,API,nan,I,nan,2011-06-08 10:22:26,2011-06-08 10:22:26,None,1.0
236,5,3000006,Create Requisition,832,API,nan,I,nan,2011-06-08 10:22:26,2011-06-08 10:22:26,None,1.0
237,5,3000007,Fulfill Requisition,833,API,nan,I,nan,2011-06-08 10:22:26,2011-06-08 10:22:26,None,1.0
238,5,3000008,Receive Requisition,834,API,nan,I,nan,2011-06-08 10:22:26,2011-06-08 10:22:26,None,1.0
239,20,990302,M. LOCATE AN ITEM,848,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
240,20,990103,M. GOODS IN,849,API,nan,I,nan,2011-06-25 10:45:03,2011-06-25 10:45:03,None,1.0
