,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
51,Y,Y,Y,18,2,None,520,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
52,Y,Y,Y,18,9,None,521,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
53,Y,Y,Y,18,10,None,522,API,2.0,I,2.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
54,Y,Y,Y,18,20,None,523,API,29.0,I,29.0,2018-10-05 13:22:03,2018-10-05 13:22:03,None
55,Y,Y,Y,56,5,None,412,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
56,Y,Y,Y,56,4,None,413,API,5.0,I,5.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
57,Y,Y,Y,56,7,None,414,API,5.0,I,5.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
58,Y,Y,Y,56,6,None,415,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
59,Y,Y,Y,56,3,None,416,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
60,Y,Y,Y,56,9,None,417,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
61,Y,Y,Y,56,13,None,418,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
62,Y,Y,Y,56,12,None,419,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
63,Y,Y,Y,56,14,None,420,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
64,Y,Y,Y,56,2,None,421,API,2.0,I,2.0,2016-04-20 12:53:39,2016-04-20 12:53:39,None
